exp_id,area,hypothesis,control,variant,primary_metric,guardrail_metric,required_events,min_runtime_days,sample_size_note,stop_condition,risk,method
E13-push-soft-prompt-timing,notification_permission_timing,"Showing the pre-permission IAM after the first daily_completed (earned value) beats showing it at daily_unlocked, lifting grant rate from ~60% to >=70%",Soft prompt IAM at daily_unlocked (L7) - get tomorrow's Line framing,Soft prompt IAM after first daily_completed - we'll tell you when tomorrow's Line opens,push_permission_result granted rate,soft-prompt dismissal rate; session continuation after prompt; cap 1/build respected,"daily_unlocked,daily_completed,push_soft_prompt_viewed,push_permission_result",10,"+10pp on a 60% base needs ~350/arm - genuinely reachable in-window at >1.5k installs; one-shot per user so no crossover","stop if variant delays grants so long that >50% of granters miss the day-2 daily journey send",low,"Remote-config A/B - one of the few in-game tests properly powered at hackathon scale (binary outcome, high base rate)"
E14-daily-copy-abc,notification_copy,"Playful-transit copy (daily_challenge C 'The 8:00 departs on time') beats neutral A and personalized B on open rate - variants per notification_copy.csv",daily_challenge variant A (Today's Line is ready),daily_challenge variants B (A fresh route just opened) and C (The 8:00 departs on time) as a 3-way split,notification_opened per delivered send,push opt-out rate within 24h of send,"notification_opened,daily_started,push_permission_result",7,"~800 delivered/arm distinguishes 6% vs 9% open rate; daily cadence accumulates sends fast - readable by week 2 of sends","stop any variant with opt-out >1.5% of deliveries; declare no-winner if spread <2pp after 2 weeks",low,"OneSignal A/B split send on the daily_challenge journey - properly A/B-able at hackathon scale; flagship honest A/B alongside store listing tests"
E15-streak-copy-ab,notification_copy,"Honest-no-panic streak copy (streak_risk A) saves as many streaks as gentle B while drawing fewer opt-outs - softening loss-aversion costs nothing",streak_risk variant A (Your {streak_days}-day line is still open),streak_risk variant B (One route keeps the streak),streak save rate (daily_completed after send and before expiry),opt-out within 24h of send; streak_changed(reset) complaint volume,"notification_opened,daily_completed,streak_changed",14,"only users with streak>=3 qualify - expect low hundreds of sends total in-window; directional unless the daily habit forms fast","pause journey if opt-out exceeds 2% on any send",medium - loss-aversion messaging,"OneSignal A/B split on the streak_risk journey message step (Growth plan); small eligible pool - directional"
E16-store-icon,store_icon,"Character-led icon (cat conductor face) beats system-led icon (metro map forming a cat silhouette) on listing conversion - character icons win across cat-genre comps (Neko Atsume 13.6M/4.78, verified 2026-07-31)",Icon A: cream cat conductor face with navy cap on a teal roundel,"Icon B: navy metro lines forming a cat silhouette, orange accent",Play Console first-time-installer conversion (app-side sanity check: first_open volume),D1 of installs acquired during each arm (install quality); art must not read child-directed (Families risk per brief),"first_open,app_open",14,"Play handles randomization and stats server-side; at ~200 listing visitors/day, 14 days detects only large (>15% relative) lifts - accept that","adopt winner early only if Play reports >90% probability to beat; kill any art direction flagged child-appealing",low,"Google Play store listing experiment - true randomized A/B even at hackathon scale; start once production listing is live (~Aug 26)"
E17-screenshot-order,screenshots_order,"Leading with the gameplay-board screenshot beats leading with the no-forced-ads fairness card - players buy the mechanic first and the values second",Order: board gameplay > cats close-up > fairness promise > Daily Line > themes,"Order: fairness promise card first, then board gameplay, remainder unchanged",Play Console first-time-installer conversion,D1 of each arm's installs (message-fit check),"first_open,app_open",14,"same Play-experiment math as E16; queue after the icon test to avoid interaction effects unless Play traffic supports parallel slots","stop if fairness-first wins CVR but shows >3pp worse D1 (attracting the wrong audience)",low,"Google Play store listing experiment - properly A/B-able; second in the listing-test queue after E16"
E18-short-description,short_description,"Mechanic-led short description ('Route cat trains with one thumb. 60-second metro puzzles.') beats fairness-led ('The fair cat puzzle: no forced ads, no energy, no timers.') on listing conversion",Short description: 'Route cat trains with one thumb. 60-second metro puzzles.',"Short description: 'The fair cat puzzle: no forced ads, no energy, no timers.'",Play Console first-time-installer conversion,D1 of each arm's installs,"first_open,app_open",14,"text moves CVR less than art in most listing tests - a null is likely; even a null settles the internal copy debate for launch PR","accept null after 14d and keep control; adopt variant only at >90% probability to beat",low,"Google Play store listing experiment - A/B-able at scale; third in the listing-test queue after E16/E17"
E19-first-session-polish,first_session_polish,"Three polish beats (station cheer on first win, name-your-cat after L3, confetti plus share card at L5) lift D1 from ~22% median toward 28%",Launch build first session as shipped,"Build adding exactly the three polish beats, nothing else in the changelist",D1 retention by weekly install cohort,first-session crash-free rate and perf_sample p95 on low-end tier (polish must not cost frames); tutorial_completed unchanged,"first_open,tutorial_completed,level_completed,app_open,perf_sample,error_caught",14,"D1 cohort deltas of 3pp+ visible at ~800 installs/cohort - borderline; support with 12-tester delight observation notes","roll back beats if p95 frame time regresses >2ms on low-end tier or crash-free drops below 99%",low,"Sequential build-over-build cohort comparison plus moderated usability (n=12); in-game A/B not warranted - beats are cheap to keep if neutral"
E20-daily-send-time,daily_send_time,"Learned per-user send time (median session-start hour after 7 days of data) beats fixed 10:00 local on daily participation - the experiment already reserved in onesignal_journeys.csv",Daily Line push at fixed 10:00 local,Push at learned per-user median session-start hour (fallback 10:00 when under 7 days of data),daily_started within 2h of delivery,open rate; opt-out rate; zero deliveries outside the journey Time Window (22:00-09:00 blocked),"notification_opened,daily_started,daily_completed,app_open",14,"requires users with >=7d history - variant arm fills from ~Sep 1; several hundred/arm by mid-Sep, enough for a 3pp+ participation delta","stop if any delivery lands outside the allowed window (instrumentation bug) or opt-outs exceed 1.5%",low,"OneSignal split on the daily_challenge journey using tag-driven Time Window steps (Growth plan) - A/B-able"
E21-share-card-design,share_card_design,"A share card showing the player's actual route trace plus conductor cat drives more link opens per share than a minimal score-and-streak card","Minimal card: score, streak, Daily Line date, store link","Route-trace card: mini route drawing plus conductor cat plus score, same link",challenge_opened per scorecard_shared (invite loop yield),share completion rate (a fancier card must not slow or discourage sharing); zero PII on card,"scorecard_shared,challenge_opened,first_open",14,"shares will number in the low hundreds at best; opens-per-share is a ratio of small numbers - directional only; screenshot-test both cards with the 12 testers too","stop if variant share completion drops >20% relative (check card render time)",low,"Sequential 7d+7d toggle; deep-link source tag on challenge_opened separates arms cleanly even run sequentially"
E22-rewind-free-daily,rewind_free_daily_count,"Two free rewinds/day (vs locked default 1) reduce failure churn enough to lift retry rate and D7 without measurably cannibalizing cm_rewind_5/cm_rewind_20 or the rewarded rewind",1 free rewind per day (locked economy default),"2 free rewinds per day, all else unchanged",post-failure same-level retry rate (secondary: D7),rewind pack unit sales (cm_rewind_5 + cm_rewind_20); rewarded_ad_completed(rewind_failure) volume,"rewind_used,level_failed,level_completed,purchase_completed,rewarded_ad_completed",14,"pack purchases are single-digit at our n - the revenue guardrail is anecdote-level; lean on retry rate (high-frequency) as the readable metric","revert if pack purchases hit zero for 7 straight days when the control period had >=3, or if retry rate lifts under 2pp",medium - direct revenue interaction,"Sequential remote-config 7d+7d; explicitly not A/B-able on the revenue guardrail at <5k users"
E23-theme-rental-length,theme_rental_length,"A 5-level theme rental (vs locked 3-level spec) builds enough attachment to lift cm_theme_sakura/cm_theme_neon purchase rate among renters from ~2% to >=4%","Rewarded theme rental lasts 3 levels, 1/theme/day (locked spec)","Rental lasts 5 levels, same 1/theme/day cap",purchase_completed(cm_theme_sakura or cm_theme_neon) within 7d of first rental,repeat-rental rate (longer rentals must not gut rental ad volume); theme equip retention,"rewarded_ad_completed,cosmetic_equipped,paywall_viewed,purchase_completed",14,"theme buyers among renters will be a handful - judge on combined signal: purchase count plus equip minutes plus tester interviews","stop if repeat-rental rate halves (ad revenue traded for nothing)",low,"Sequential remote-config value change 7d+7d; directional plus qualitative; the $2.99 theme price is locked and not tested"
E24-winback14-copy,notification_copy,"Value-led final winback (winback_14d C - free premium-theme trial) resurrects more 14d-lapsed players than honest-final A; both variants keep the this-is-the-last-message promise",winback_14d variant A (One route when you have a minute - honest-final),winback_14d variant C (The 14-day special - value-led-final),app_open within 72h of send (14d resurrection rate),unsubscribe/complaint rate; promise integrity - zero further sends after this message in both arms,"notification_opened,app_open,streak_changed",21,"eligible pool = 14d-lapsed with push granted - likely under 300 total in the window; run the split anyway (OneSignal handles it) and read directionally","hard stop on any evidence a second final message was sent (journey config bug)",medium - exit-respect promise,"OneSignal A/B split on the winback_14d journey step; mechanically A/B but underpowered - accept a directional answer"
E25-hardlevel-copy,notification_copy,"Concrete-tip copy (hard_level_help A - names the {hint_color} source plus free rewind) gets more stuck players past the level than retune-transparency copy (B)",hard_level_help variant B (Level {level_id} was retuned),hard_level_help variant A (A route tip for Level {level_id} plus free rewind note),level_completed on the stuck level within 48h of send,open rate; sentiment - any support message or review calling it an upsell; per-journey rule: never reads as a sale,"notification_opened,level_completed,level_failed,rewind_used",14,"trigger is 2 fails in 60min without completion and a 1-per-level-ever cap - a few hundred qualifying sends at best; directional","pause the journey if any reply or review calls the message an ad or upsell",medium - help-not-sell boundary,"OneSignal split on the hard_level_help journey (Growth plan slot 3); directional at our n"
E26-paywallsv2-gate,paywall_reliability,"RC Paywalls v2 renders crash-free >=99.5% on the Android device matrix and converts at parity with the custom fallback; if not, the custom paywall ships at post_level_5 (3 open Android crash issues #745/#736/#732 per brief)",Custom Unity-native paywall (fallback build - known stable),RC Paywalls v2 via RevenueCatUI at placement post_level_5,crash-free paywall render rate on 10-device matrix; secondary: conversion parity per paywall_viewed,paywall_viewed to purchase_started funnel parity; error_caught(domain=paywall) volume,"paywall_viewed,purchase_started,purchase_completed,error_caught",5,"this is a go/no-go engineering gate, not a stats test - 10 physical devices x 20 renders each pre-launch, then a 48h staged-rollout watch","any reproducible crash on a top-10 device = ship custom fallback immediately; revisit Paywalls v2 post-event",high if skipped - purchase path stability,"Pre-launch device-matrix QA plus staged rollout monitoring; explicitly not an A/B - reliability gate scheduled before the D21 (Aug 21) commercial beta smoke"
