day,date,week,phase,main_objective,engineering,design_content,art_audio,revenuecat,onesignal_ads,analytics_store,marketing_bip,deliverable,acceptance_criteria,dependencies,fallback,est_hours
10,2026-08-10,2,Level System,AdMob rewarded + RC AdTracker + OneSignal custom events proven on device,IAds service interface + Integrations.Ads adapter asmdef,L13 draft,District 2 props,Manual AdTracker wiring (TrackAdLoaded/Displayed/Opened/Revenue/FailedToLoad) on the spike ad - the AdMob convenience module is not for Unity per brief,Install Google Mobile Ads Unity 11.3.0; rewarded test ad loads and shows on device; reward callback fires exactly once; OneSignal custom event (level_failed) received in dashboard,None,BIP post 10/56: no-forced-ads pledge post (the Catvertising narrative starts),End-to-end rewarded spike + AdTracker events visible in the RC dashboard,Test ad rewards exactly once; RC dashboard shows all five AdTracker event types,D5 RC init + D6 OneSignal install,Spike AppLovin MAX 8.6.4 (brief fallback) if GMA init or fill fails on the device matrix,8
11,2026-08-11,2,Level System,Tutorial + accessibility in; levels 1-12 validated,Tutorial beat system; planning-pause accessibility mode; haptics tiers via the JNI VibrationEffect helper; haptics and motion toggles,L1-L12 final and solver-validated; tutorial copy,District 1-2 props; toon shader family v1,None,None,tutorial_started/step/completed + level events live per analytics_event_taxonomy.csv,BIP post 11/56: colorblind-safe design deep-dive,FTUE complete in the dev build,A fresh player clears L1-L3 unaided in a supervised test,D9 validator,Trim tutorial to 2 beats if players stall on beat 3,8
12,2026-08-12,2,Level System,Mechanics 3+4 complete + Daily Line behind flag,Second source + wildcard commuter in Domain and solver; Daily Line seeded mode behind a feature flag (unlocks after L7 per brief),L13-L16 authored using the second source,District 3 blockout; wildcard cat readable rainbow silhouette,None,None,daily_unlocked/daily_started/daily_completed events dark-launched,BIP post 12/56: new-mechanic reveal GIF,All 4 locked launch mechanics complete,Solver handles both new mechanics; the same daily seed produces an identical level on 2 devices,D9 solver,Cooldown and gates stay post-launch (bands 31-60 per brief); never pull them forward to fix pacing,8
13,2026-08-13,2,Level System,Analytics choke point + closed build 3,Typed analytics wrapper (single choke point; unknown event names assert in dev builds); offline event queue,L17-L20 authored,District 4 blockout,None,None,Remaining P0 taxonomy events implemented (economy/ads/monetization rows staged dark until their surfaces exist); Crashlytics symbol upload in CI; upload build 3 to the closed track,BIP post 13/56: analytics-taxonomy screenshot thread,Build 3 (20 levels + daily flag) to testers,Device events visible in the dashboard; a forced test crash arrives symbolicated,D11 events,Ship build 3 with 17 levels if L18-L20 fail validation,8
14,2026-08-14,2,Level System,Level-system gate day + 14-day tester clock completes,Replay-hash device smoke; fix outstanding validator flags,Difficulty curve pass across all 20 levels using solver stats,None,Re-run the RC purchase spike on the latest build (gate evidence),Re-run rewarded ad + push spikes on the latest build (gate evidence),Assemble production-access application answers (testing learnings + changes made),BIP post 14/56: week-2 recap with tester funnel numbers,Gate ADR-0014 + production-access application package ready,See the D14 GATE row,D13 build 3,See the D14 GATE row,7
14,2026-08-14,2,GATE,LEVEL-SYSTEM GATE (brief D14): 20 validated levels + solver + commercial SDK spikes green on device + tester clock complete,Gate review only,Gate review only,None,None,None,None,None,Go/no-go ADR-0014,20 levels solver-validated in CI; RC sandbox purchase + rewarded ad + push each pass on the current device build; Play Console shows 12 testers continuous for 14 days,D5/D6/D10 spikes + D13 content,If the clock ran short from late opt-ins apply for production the day it completes (launch still inside Aug 24-28); if a spike regressed fix it before starting Week-3 monetization work,2
15,2026-08-15,3,Commercial Beta,Apply for production access the day the 14-day tester clock completes (~Aug 15 if the clock started Aug 1),Rewind system in Domain: rewind to last safe decision tick via command-log truncation,Rewind UX order locked: owned/free/rewarded first; purchase secondary; never after first failure (brief),Results screen polish,None,None,Complete and submit the production-access questionnaire; content rating questionnaire; data safety draft mapped from the taxonomy privacy_class column,BIP post 15/56: 14-day-clock-done milestone post,Production-access application submitted,Console shows the application in review; rewind replays deterministically in EditMode tests,D14 gate pass,If the console gates eligibility to Aug 16 submit then - the application goes in the day the trailing-14-day criterion is satisfied,7
16,2026-08-16,3,Commercial Beta,Paywall placements wired + Paywalls v2 device-proven,Shop screen skeleton; entitlement-driven UI states,Paywall copy v1 under the Fair-by-design positioning (no forced ads; no energy; no loot boxes; every level solvable free),Paywall layout art,Wire Placements post_level_5 / theme_preview / bonus_district / shop / rewind_failure; RC Paywalls v2 via RevenueCatUI on post_level_5 with heavy device testing (open Android crash issues #745/#736/#732 per brief); custom paywall fallback behind a flag,None,None,BIP post 16/56: paywall-principles post (the HAMM narrative starts),post_level_5 paywall live in the dev build,Paywall renders on 3 physical devices with zero crashes; the fallback flag switches instantly,D15 rewind (rewind_failure sheet),Ship the custom paywall as primary if v2 crashes reproduce,8
17,2026-08-17,3,Commercial Beta,All 6 SKUs live end-to-end,Purchase + restore flows; consumable fulfillment ledger with double-grant protection; entitlement_changed handling incl. refund revocation,All Access contents check: bonus district + both premium themes + daily free rewind + removes all non-rewarded ad surfaces + gold conductor badge,Gold conductor badge + supporter badge art,Import products; entitlements all_access / supporter / theme_sakura / theme_neon; default offering launch_v1 packaged to the 5 placements,None,Create Play products: cm_all_access $6.99 / cm_supporter_pack $9.99 / cm_theme_sakura $2.99 / cm_theme_neon $2.99 (non-consumable) + cm_rewind_5 $1.99 / cm_rewind_20 $4.99 (consumable),BIP post 17/56: pricing rationale post (the documented $6.99 decision per brief: bounded downside + ladder coherence + the $7.26 ARPPU anchor),Every SKU purchasable in sandbox,Sandbox purchase of all 6 SKUs on device; restore works on a fresh reinstall; the RC dashboard mirrors the catalog,D16 placements,If Play product activation lags run against RC Test Store products and re-verify next day,9
18,2026-08-18,3,Commercial Beta,All rewarded surfaces + tickets economy live,Tickets ledger: earn 20-50/level + 100 first daily + 30-80 daily gift; sinks 600-1200 earnable cosmetic variants; nothing gameplay-gated (brief),Reward tuning table; streak saver stays rewarded/free only - never IAP (locked),Ad-offer sheet art (invitational not interruptive),Client-side reward grant with our own ledger (server-verified ad rewards unavailable on Unity per brief),Build 5 rewarded surfaces with caps: rewind_failure (2/session; 5/day) / double_tickets (3/day) / daily_gift_double (1/day) / streak_saver (1/day) / theme_rental (3 levels; 1/theme/day); client-side cap enforcement; AdTracker on every ad event,ticket_earned/ticket_spent + ad taxonomy rows go live,BIP post 18/56: ads-only-when-the-player-asks demo clip,All 5 surfaces + economy live in dev,Each surface grants exactly once incl. kill-app-mid-ad; caps suppress correctly; declining never penalizes,D10 ad spike + D15 rewind,Cut theme_rental last if cap logic drags - the other 4 surfaces are the Catvertising core,8
19,2026-08-19,3,Commercial Beta,The 3 locked OneSignal journeys live,Deep-link router for catmetro://daily catmetro://home catmetro://level/{id} across cold/warm/killed states; Unity Mobile Notifications local backup for streak expiry (brief),Journey timing review against onesignal_journeys.csv suppression rules,None,Verify RC purchase tags land on the OneSignal user via the $onesignalUserId attribute,Build the 3 Growth-plan journeys per brief: (1) Daily Line + streak (custom-event entry + Wait Until + Time Window) (2) Lapse ladder 48h->7d->14d branches in one journey (3) Hard-level help; copy from notification_copy.csv; pre-permission soft-prompt IAM; in-app frequency caps (Enterprise capping unavailable per brief),notification_opened + push_permission_result events verified,BIP post 19/56: designing-3-journeys-on-a-$19-plan thread (OneSignal Resourcefulness criterion),All 3 journeys firing on test devices,Each journey triggers from test events; deep links route correctly in all 3 app states,D6 OneSignal spike + D13 analytics events,If a journey misfires fall back to one-off scheduled sends until fixed (a single deployed message already satisfies eligibility per verified rules),8
20,2026-08-20,3,Commercial Beta,Store listing draft + 30 campaign levels complete,Bonus-district lock behind the all_access entitlement,Levels 21-30 authored + validated (30 launch levels complete); bonus district design started,Sakura + Neon theme production; 3 icon concepts,None,None,Full listing draft: name Cat Metro; short + long description with no-forced-ads positioning; target audience 13+; art must not read child-directed (Families risk per brief); privacy policy live at catmetro.com/privacy,BIP post 20/56: icon poll (engagement beat),Listing draft + 30 campaign levels green in CI,Internal Families-risk review passes; L21-L30 solver-validated,D9 validator,Trim to 28 launch levels only if two levels resist validation - restore before D24,9
21,2026-08-21,3,Commercial Beta,Commercial-beta smoke + build 4 to testers,Full smoke matrix on 4 devices including a $150-class low-end; fix blockers,Smoke-checklist authoring and execution log,None,Execute purchase/restore/refund-revoke on the matrix,Execute all 5 ad surfaces + all 3 journeys on the matrix,Upload build 4 (commercial beta) to the closed track; SUBMIT-ON-GRANT rule: this build is the production candidate - the day production access is granted (P50 ~Aug 20-21) submit IT to production with managed publishing ON and publish held; the polished 1.0 ships as an immediate update,BIP post 21/56: week-3 recap + smoke-checklist screenshot,Build 4 to all 12 testers,See the D21 GATE row,D17-D19 systems complete,See the D21 GATE row,8
21,2026-08-21,3,GATE,COMMERCIAL-BETA GATE (brief D21): the full commercial stack passes on the device matrix,Gate review only,Gate review only,None,None,None,None,None,Go/no-go ADR-0021,100% smoke checklist pass; purchases/restore/refund-revoke + 5 ad surfaces + 3 journeys + offline campaign all green; crash-free >=99.5% across beta sessions,D21 smoke complete,Flip the paywall to the custom fallback; swap GMA to AppLovin MAX 8.6.4; cut theme_rental if capping bugs persist - the launch date does not move,2
22,2026-08-22,4,Launch,Release-candidate hardening,Perf pass on low-end (URP frametime regression check); 60 fps mid-tier and stable 30 low-end; memory within budget; R8 keep rules for RC/OneSignal/GMA; final 16 KB + target API 36 audit,Difficulty smoothing from tester level_failed clustering,Lighting polish across all 6 districts,None,None,Address Play pre-launch report warnings,BIP post 22/56: performance war-story thread,RC build v0.9.0,Frame budgets met on the low-end device; vitals clean,D21 gate pass,Reduce diorama prop density on the low-end quality tier only,8
23,2026-08-23,4,Launch,Store + submission assets final,Capture-rig runs driven by replay logs,Release notes + what-is-in-1.0 doc,1024x1024 icon final; 6 portrait screenshots; feature graphic; 1179x2556 frameless screenshot (Shipaton submission asset per verified rules); Unity Recorder 5.1.6 1080x1920 gameplay takes banked for the sub-2-minute video,None,None,Run the Play pre-launch report on the RC build; finalize the data safety form,BIP post 23/56: making-of-the-assets post,Complete asset kit meeting Play + Shipaton specs,Every asset matches spec pixel-exact; pre-launch report clean,D22 RC build,Reshoot only the frameless screenshot if any asset fails spec - it is the rules-mandated one,7
24,2026-08-24,4,Launch,STORE-READY: submit the production release,Final v1.0.0 AAB build from the release branch,None,None,Mint Play one-time promo codes for judge access (verified working for one-time products per brief); redeem-test one code on a clean device,None,Per the submit-on-grant rule the first production release went in the day access was granted (P50 ~Aug 20-21; commercial-beta build; managed publishing ON; publish held) - today confirm it is in review or submit immediately if the grant just landed; first-release review up to 7 days per brief so launch Aug 24-28 is best case with planning basis P50 Sep 1-2 / P80 Sep 12-16; staged-rollout plan documented with halt criteria (halt if crash-free <99% or ANR >0.47%),BIP post 24/56: we-pressed-submit post,v1.0.0 in review + judge codes banked,See the D24 GATE row,D15 application approved + D23 assets,See the D24 GATE row,7
24,2026-08-24,4,GATE,STORE-READY GATE (brief D24-26 submit window): production submission is in,Gate review only,Gate review only,None,None,None,None,None,Go/no-go ADR-0024,Release status In review; listing 100% complete; a judge promo code redeems on a clean device,Production access approval,If access approval is still pending escalate via Play developer support and submit the hour it clears; Aug 24-28 is the best case - planning basis P50 Sep 1-2 / P80 Sep 12-16; latest viable Sep 19,1
25,2026-08-25,4,Launch,In review: press + Devpost groundwork,Hotfix branch prepared; release runbook rehearsal,Devpost project shell + category mapping (P0 targets: Best Game / HAMM / #BuildInPublic / OneSignal / Catvertising per brief),Press-kit imagery exports,None,Draft (not send) the one-off launch push to opted-in testers,Monitor review status twice daily,Press kit live at catmetro.com/press; 15-name outreach list (puzzle YouTubers + newsletters); BIP post 25/56 launch-week teaser,Press kit + rehearsed runbook,Runbook dry-run complete; press kit loads publicly,D24 submission,None needed - this day is review-latency buffer by design,6
26,2026-08-26,4,Launch,Launch prep locked,Final pre-launch smoke on the production-signed build,Validate 30 days of Daily Line seeds ahead,None,None,Journey audience filters double-checked for production,If approved schedule the rollout for D27 morning; lock the listing,BIP post 26/56 countdown; Reddit drafts for r/AndroidGaming per sub self-promo rules,Go-for-launch checklist signed,Rollout scheduled or ready; daily seeds verified deterministic,Play review approval,If still in review shift launch comms to D28; if review runs past Aug 28 re-plan to the printed planning basis (P50 Sep 1-2 / P80 Sep 12-16; latest viable Sep 19),6
27,2026-08-27,4,Launch,PUBLIC LAUNCH (target inside Aug 24-28),Live monitoring; hotfix on standby,Watch first-session funnels live,None,Verify first real purchases + revenue reporting in the RC dashboard (the Grand Prize shortlist metric source per verified rules),Send the launch push; confirm journeys active on the production audience,Release live to production at 100% (the event needs volume; halt criteria armed); vitals hourly,BIP post 27/56 LAUNCH megathread; Reddit posts live; personal-network push,Cat Metro 1.0 public on Google Play,Publicly installable in the USA (rules requirement); first organic installs visible,D26 go-for-launch,Any window day through Aug 28 is on-target; later remains eligible but burns Grand-Prize revenue runway,8
28,2026-08-28,4,Launch,Launch window closes: stabilize + measure,Hotfix any crash cluster; otherwise polish backlog,Log tester-to-public difficulty differences for Week-5 tuning,None,Confirm entitlement grants and restores behaving on production traffic,Journey delivery sanity check on the production audience,Day-1 funnel review (first_open -> tutorial_completed -> level_completed L5 -> paywall_viewed -> purchase_completed); reply to every review; vitals check,BIP post 28/56 week-4 recap with real launch numbers (honest numbers are the BIP moat),v1.0 stable + day-1 readout,Crash-free >=99.5%; the full funnel is flowing in analytics,D27 launch,If launch slipped to today run the D27 checklist now and push comms tonight,7
24-28,2026-08-24..2026-08-28,4,GATE,PUBLIC LAUNCH WINDOW (brief D24-28): first public store release inside the event window,Window gate review only,None,None,None,None,None,None,Public store URL + recorded release date,Cat Metro 1.0 live on Google Play; accessible from the USA; release date logged for Early-and-Effective-Release judging,D24 submission + Play review,Absolute backstop is any release before Sep 30 11:45pm PDT (keeps eligibility per verified rules) but every slipped day cuts Grand-Prize revenue runway - spend all schedule slack here first,1
CONTINGENCY,2026-08-20..2026-09-15,4,CONTINGENCY,REJECTION BRANCH: triggers the day a rejection email arrives (expected window ~Aug 20-22) - not on any calendar date,Fix the stated rejection reasons in the build,None,None,None,None,Keep ALL testers opted in continuously - never stop until GRANT (not application); answer the stated reasons within 24h; re-apply the moment the trailing-14-day criterion re-satisfies,Daily BIP continues - report the rejection and the refile honestly,Re-filed application then re-grant,P50 re-grant ~Sep 8; launch ~Sep 13-15; latest viable Sep 19,Rejection email received (R-01 trigger),If refiled twice escalate via Play developer support and re-weight award targeting toward craft-judged categories (Best Game / Design / #BuildInPublic),0
29-35,2026-08-29..2026-09-04,5,Growth & Experiments,Stabilize launch; start price + retention experiments; ship District Cup,Hotfix cadence; District Cup async-score weekly event + weekly seed pipeline; levels 31-35 built and submitted as the Week-5 content update (cooldown mechanic enters band 31-60 per brief; 36-40 follow in v1.1 by Sep 11 - one content schedule),District Cup rules (async score + participation cosmetic per brief); levels 31-35 authored + validated,Participation cosmetic livery; event banner art,Price test cm_all_access $4.99 vs $6.99 - RC Experiments if the plan is Pro else sequential offering flips of 7 days each (decision logged as ADR per brief),Journey performance review against notification_copy.csv variants; tune Time Window steps; ad fill + eCPM review vs the $15-30 US rewarded benchmark (vintages labeled per brief),D1/D7 retention readout vs 2025 GameAnalytics medians (~22% / ~4% per brief); ASO iteration 1 from Play search terms; reply to all reviews,Daily BIP 29-35/56 including the first public metrics-dashboard post (installs / D1 / revenue transparency),District Cup live in Week 5 (brief) + Week-5 content update (levels 31-35) submitted + price experiment running + retention readout,Event joined by >=20% of D7-active players; both price points serving correctly; readout written,Launch live,If crash or ANR spikes freeze features and stabilize first - experiments wait,48
35,2026-09-04,5,GATE,RETENTION-EXPERIMENT GATE (D35): pick the retention levers to scale,Gate review only,Gate review only,None,None,None,None,None,ADR-0035 lever decision,D1 >=22% floor (target 30%+); Daily Line participation >=25% of DAU; top 2 levers chosen for Week 6,Week-5 readout,If D1 <15% stop all growth spend (the $0 default budget holds per brief); FTUE surgery sprint in Week 6; cut levels 36-40,2
35,2026-09-04,5,GATE,FUNNEL GO/NO-GO (D35): Stripe Funnel Vision is a P2 stretch per brief,Gate review only,Gate review only,None,None,None,None,None,Go/no-go ADR-0035b,GO only if all of: crash-free >=99.5% AND P0 award work on track AND RC Funnels available on our plan AND Stripe connected AND build estimate <=8h via Redemption Links,Week-5 stability data,Default NO-GO - the award is skipped with zero launch-scope impact (locked in brief),1
36-42,2026-09-05..2026-09-11,6,Growth & Experiments,Content update v1.1 + monetization tuning + award evidence,Levels 36-40 (gates mechanic); in-app review flow (after a 3-star win; session_count>=5; never after failure; quota-aware per brief); v1.1 build + submit,Levels 36-40 authored + difficulty tuned from the live funnel,Content-update key art; polish pass 2,Interim price-test check (full readout needs ~2 weeks); paywall tweaks from the paywall_viewed -> purchase_completed funnel,Catvertising evidence capture: ad-surface UX recordings + opt-in and decline rates + zero-forced-ads stats; OneSignal outcomes tied to purchases,v1.1 release notes; ASO iteration 2; vitals watch,Daily BIP 36-42/56; mid-event revenue milestone post; short-form reroute clips for TikTok and Shorts,v1.1 live by Sep 11 with levels 31-40,Update passes review; levels 31-40 solver-validated; the review prompt respects the Play quota,Week-5 event pipeline,Ship 31-35 only if 36-40 slip - the content-complete gate absorbs the cut,46
42,2026-09-11,6,GATE,CONTENT-COMPLETE GATE (D42): all event-window content shipped; feature freeze begins,Gate review only,Gate review only,None,None,None,None,None,Freeze ADR-0042,30 launch levels + 10 bonus-district levels + levels 31-40 + District Cup cadence + both premium themes live; only fixes and polish and submission work after,v1.1 live,Cut levels 36-40 to a post-event update; the freeze holds regardless,1
43-49,2026-09-12..2026-09-18,7,Submission,Submission assets produced while liveops runs itself,Stability-only changes; v1.1.1 candidate if needed (must submit by Sep 19 to keep the 7-day review buffer),Devpost submission goes LIVE ~Sep 15 and is edited continuously to the freeze (submit early - Devpost encourages it and ~30% of the field submits in the final week); narratives drafted per target category: Best Game / HAMM / #BuildInPublic / OneSignal / Catvertising / Design / Grand Prize (award priorities per brief) + a drafted answer for every category-specific question (empty = not judged in that category),Sub-2-minute video scripted + cut from banked takes (original music only - verified rules ban third-party trademarks and music); icon + 1179x2556 final exports,Revenue + conversion snapshots from the RC dashboard (Grand Prize shortlist = total window revenue; HAMM = paywall conversion story),OneSignal evidence pack: journey screenshots + outcomes data mapped to the Implementation / User value / Resourcefulness criteria,Fresh judge promo codes minted + tested on a clean device; rules-vs-assets checklist pass,Daily BIP 43-49/56; how-we-built-it longform posts building the BIP judging corpus,Video v1 + all Devpost drafts,Video under 2 minutes with zero third-party marks or music; every draft cites real numbers,D42 freeze,If video production overruns ship a screen-capture-only cut (rules allow judging from text and images and video alone),44
50-56,2026-09-19..2026-09-25,8,Submission,Submission-ready by D54 with pure buffer after,Final build (if any) submitted by Sep 19; zero-risk fixes only,Devpost final copy pass; answers tightened to exact criteria language from the Official Rules,Video final cut + captions + thumbnail,Plan the final Sep-30 metrics snapshot (submission-day numbers); confirm promo codes unexpired,Confirm journeys run unattended through judging Oct 1-13,End-to-end judge-access dry run twice (the free campaign is open anyway; codes unlock cm_all_access),Daily BIP 50-56/56; scheduled 56-day recap megathread; thank-you post to the 12 original testers,Live Devpost submission (submitted since ~Sep 15) final-edited with every field complete,A dry run completes every Devpost field with no blanks,Week-7 assets,The Sep 26-30 freeze window stays pure buffer before the Sep 30 11:45pm PDT deadline,42
54,2026-09-23,8,GATE,SUBMISSION-READY GATE (D54): every rules-required element verified,Gate review only,Gate review only,None,None,None,None,None,Submission checklist ADR-0054 signed,Description + sub-2-minute video + store URL + 1024x1024 icon + 1179x2556 frameless screenshot + judge access all verified against the Official Rules (fetched 2026-07-31); winners-date discrepancy (Oct 21 rules vs Oct 22 FAQ) reverified,Week-8 package,D55-56 plus the Sep 26-30 freeze absorb any miss; absolute deadline Sep 30 11:45pm PDT,2
