# Tickets economy (DECISIONS_BRIEF locked 2026-07-31): tickets are CLIENT-SIDE soft currency; NO premium currency; NO currency IAP (cut); sinks are cosmetic-only, nothing gameplay-gated; RC Virtual Currency NOT used at launch (revisit post-launch). daily_expected_* columns = expected tickets/day in launch week 1 for the free-casual and free-engaged profiles; simulation rows at bottom integrate to running balances. Cross-refs: ticket_earned/ticket_spent enums in analytics_event_taxonomy.csv (sink: cosmetic|saver); ad placements in ad_placement_map.csv.
item,kind(source|sink),amount,frequency_cap,daily_expected_free,daily_expected_engaged,purpose,anti_inflation_control,notes
event_rotation_cosmetic,sink,800 per weekly item,1 new item/week from Week 5,0,~114/day amortized from W5,keeps sink demand alive after launch catalog clears,"weekly cadence adds ~800/week of fresh sink capacity","first two items land Aug 31 and Sep 7 inside the event window (the Cup cadence)"
sim_free_casual_d1,simulation,165 (end balance),-,-,-,running balance check: free-casual Day 1,-,"earn: 6 first clears ~125 + 1 perfect 10 + gift 30 = 165; spend 0; balance 165"
sim_free_casual_d7,simulation,478 (end balance),-,-,-,running balance check: free-casual Day 7,-,"earn ~154/day x 7 = 1078 (sum of wk1 free column); spend: livery_tabby_orange 600 (~D5); 1078 - 600 = 478"
sim_free_casual_d30,simulation,758 (end balance),-,-,-,running balance check: free-casual Day 30,-,"earn 1078 + (D8-30 decayed rate ~110/day x 23 = 2530) = 3608; spend 600+700+750+800 = 2850; balance 758 with the 900 item ~1.5 days away = healthy pull; always 1-2 aspirational items unbought"
sim_free_engaged_d1,simulation,485 (end balance),-,-,-,running balance check: free-engaged Day 1,-,"earn: 10 first clears 225 (5x20 D1 + 5x25 D2) + 3 perfects 30 + gift 30 + daily 100 + 2 ad doubles 50 + gift double 30 + 2 replays 20 = 485; spend 0"
sim_free_engaged_d7,simulation,1142 (end balance),-,-,-,running balance check: free-engaged Day 7,-,"earn ~456/day x 7 = 3192 (sum of wk1 engaged column); spend 600+700+750 = 2050; balance 1142"
sim_free_engaged_d30,simulation,2680 (end balance),-,-,-,running balance check: free-engaged Day 30,-,"earn 3192 + steady ~306/day (daily 90 + gift 52 + ad doubles 70+44 + replays 40 + misc) x 23 = 7038 -> 10230; spend full catalog 5950 + 2 event items 1600 = 7550; balance 2680. KNOWN RISK: engaged players clear the launch catalog ~D16-17 (5950-3192 = 2758 at ~306/day = ~9 days past D7) - mitigations: weekly rotation from W5, 1200-tier prestige variants, revisit top-tier prices in v1.1"
sim_payer_d1,simulation,605 (end balance),-,-,-,running balance check: payer (all_access) Day 1,-,"engaged D1 485 + 3 bonus-district clears 120 = 605; assumes cm_all_access bought at the post_level_5 paywall; payer also gets daily free rewind (not tickets)"
sim_payer_d7,simulation,1542 (end balance),-,-,-,running balance check: payer Day 7,-,"earn 3192 + full bonus-district pool 400 = 3592; spend 2050; balance 1542"
sim_payer_d30,simulation,3080 (end balance),-,-,-,running balance check: payer Day 30,-,"earn 10230 + 400 = 10630; spend 7550; balance 3080. Surplus acceptable: economy is cosmetic-only with no pay-to-win, so payer surplus is a harmless prestige buffer - no compensating faucet-nerf needed"
