# RevenueCat + Google Play configuration runbook - Cat Metro (io.catmetro.game). v1, 31 Jul 2026. Source of truth: DECISIONS_BRIEF.md (locked 2026-07-31) + specs/revenuecat_implementation.md (offering IDs ofr_core/ofr_themes/ofr_rewind/ofr_shop and entitlement mapping are reused here verbatim).
# Row order IS execution order. Item prefixes: D1-xx = Aug 1 2026 (Day 1), D2/D3 = Aug 2-3, Dnn = day offset from Aug 1, SEP-xx = post-launch. Every P0 row must be green before the D24-26 (Aug 24-26) production submit.
# Serial wall-clock dependencies that force the Day-1 ordering: Play service-account credential propagation ~36h; Play closed-test 14-day tester clock; RevenueCat Ads public-beta approval latency is unbounded.
config_area,item,value,where_configured,depends_on,verification_step
entitlements,D1-24 Consumables carry NO entitlement (deliberate),"cm_rewind_5 and cm_rewind_20 are left unattached in RC. Fulfillment is the local ConsumableLedger keyed by a SHA-256 hashed transaction id (see entitlement_map.json consumables section). An entitlement here would be wrong: rewinds are spent, not owned",RC > Products (entitlement field left empty on both rewind SKUs),D1-18,Both rewind SKUs show no entitlement in RC; a rewind purchase produces ZERO entitlement_changed events and exactly one ledger row + balance delta
offerings,D1-25 Offering ofr_core (set as Current),"Packages in display order: all_access (cm_all_access), supporter (cm_supporter_pack). Marked CURRENT so a placement misfire degrades to a sane default. Serves placements post_level_5 and bonus_district. DISPLAY RULE (brief-locked): the post_level_5 and bonus_district renderers bind ONLY the all_access package - the supporter package is filtered out by SupporterVisibilityRule, which allows it exclusively in the shop screen",RC > Offerings > + New offering > mark as Current,"D1-20, D1-21",GetOfferings() on device returns ofr_core as current with both packages; QA asserts the post_level_5 paywall and bonus_district screen render exactly one purchasable card (supporter impossible to reach from either)
offerings,D1-26 Offering ofr_themes,"Packages in display order: theme_sakura (cm_theme_sakura), theme_neon (cm_theme_neon), all_access (cm_all_access, rendered as a one-line cross-sell, never a third card at launch - PW04 tests that). Serves placement theme_preview",RC > Offerings > + New offering,"D1-22, D1-23",Device fetch returns 3 packages in that order; the theme sheet renders 2 action rows + 1 cross-line; owned themes flip to Owned/Equip without re-fetching
offerings,D1-27 Offering ofr_rewind,"Packages in display order: rewind_5 (cm_rewind_5), rewind_20 (cm_rewind_20), all_access (cross-line only, hidden for payers - All Access doubles the daily free rewind). Serves placement rewind_failure. Hard rule: no package from this offering may render above the free / owned / rewarded rows",RC > Offerings > + New offering,"D1-20, D1-24",Device fetch returns 3 packages; EditMode test on the failure sheet asserts pack rows always sort below the free+owned+rewarded rows and that attempt==1 can never fetch this placement
offerings,D1-28 Offering ofr_shop,"All six packages in shop scroll order: all_access, theme_sakura, theme_neon, rewind_5, rewind_20, supporter (supporter deliberately last - shop-only, tip-jar framing). Serves placement shop",RC > Offerings > + New offering,D1-20..D1-24,Shop screen renders 6 cards from the offering with no hard-coded catalog; removing a package in the dashboard removes the card on next fetch without an app update
offerings,D1-29 Package identifier convention,"Custom identifiers throughout: all_access, supporter, theme_sakura, theme_neon, rewind_5, rewind_20. No $rc_ magic identifiers - those carry subscription-duration semantics we do not have. The SAME identifier string is reused in every offering so client code keys UI off package.identifier alone. NOTE: monetization_catalog.csv lists package_type $rc_lifetime for all_access; reconciled here to the custom identifier all_access - if the dashboard is ever switched to the Lifetime type, PaywallPresenter's package map must change in the same commit",RC > Offerings > (each offering) > Packages,D1-25..D1-28,"Unity OfferingSnapshot maps identifier -> prefab through a dictionary with NO default branch; an unknown identifier throws in dev builds and logs error_caught(domain=offering_shape) in release"
placements,D1-30 Placement post_level_5,"Serves ofr_core. Renderer: RevenueCat Paywalls v2. Fires once per install ever, on first L5 completion, after the celebration finishes. Fallback when the placement resolves to nothing: use current offering (ofr_core)",RC > Offerings > Placements > + New placement,"D1-25, purchases-unity 9.7.0 (Placements need >=6.9.0)","On-device: GetOfferingForPlacement(""post_level_5"") returns ofr_core; paywall_viewed logs offering_id=ofr_core, paywall_variant=rcui_v2"
placements,D1-31 Placement theme_preview,"Serves ofr_themes. Renderer: custom UGUI bottom sheet over the live re-skinned board. Player-initiated only - the system never opens it. Fallback: use current offering is DISABLED here (a themes sheet must never show the All Access core paywall); on null the sheet shows the rewarded rental row only, or closes if ads are off",RC > Offerings > Placements > + New placement,D1-26,Device fetch returns ofr_themes; force a null placement in the dev menu and confirm the sheet degrades to rental-only and never renders a core paywall
placements,D1-32 Placement bonus_district,"Serves ofr_core. Renderer: custom full-screen unlock view (Night Harbor hero + 10 ghosted level names). Player-initiated (map tile tap) only; the tile never pulses or badges. Fallback: use current offering",RC > Offerings > Placements > + New placement,D1-25,Device fetch returns ofr_core; supporter package filtered out by SupporterVisibilityRule; paywall_viewed logs placement=bonus_district trigger=map_tap
placements,D1-33 Placement shop,"Serves ofr_shop. Renderer: custom shop screen. Always reachable from Home. Fallback: use current offering, plus a cached last-good offering from the save so an offline shop still lists what the player already saw",RC > Offerings > Placements > + New placement,D1-28,Device fetch returns ofr_shop with 6 packages; airplane-mode open renders the cached catalog with a calm offline line and no spinner-lock
placements,D1-34 Placement rewind_failure,"Serves ofr_rewind. Renderer: custom bottom sheet, opened ONLY by the player tapping the rewind chip (attempt >= 2, progress >= 40%). Fallback: NO offering (explicitly not the current offering) - if the placement returns nothing the sheet shows free/owned/rewarded rows and simply omits the pack rows",RC > Offerings > Placements > + New placement,D1-27,"Device fetch returns ofr_rewind; null-placement dev toggle confirms the sheet still opens with free options and zero purchase rows; EditMode test asserts no fetch is even attempted when attempt==1"
placements,D1-35 Placement fallback policy (written down once),"post_level_5 / bonus_district / shop -> fall back to the current offering (ofr_core or cached). theme_preview / rewind_failure -> fall back to NOTHING. Rationale: a mis-resolved placement must never turn a cosmetic sheet or a failure sheet into a core-paywall interrupt",RC > Placements > (per placement) > Fallback offering setting,D1-30..D1-34,"Dev menu ""break placements"" toggle runs all five surfaces; QA signs off that no surface upgrades itself into a bigger ask"
paywalls,D1-36 Build the Paywalls v2 paywall for post_level_5,"Built on ofr_core with a SINGLE package slot bound to all_access. Layout top-to-bottom per monetization_spec 4.1: close X top-left >=48dp at full opacity from frame 1; Night Harbor hero image; H1 ""One ticket. Every line.""; sub-head ""All Access is the complete Cat Metro - one purchase, yours forever.""; 5 benefit rows (Night Harbor 10 levels / both premium themes / daily free rewind doubled to 2 / ad-free guaranteed forever / gold conductor badge); price row; primary CTA ""Unlock All Access - {price}""; secondary text button ""Keep playing free""; three disclosure lines (one-time not a subscription / every level outside Night Harbor is free and solvable / purchases restore on any device); footer trust line ""Fair by design: no forced ads, no energy, no loot boxes."" NO countdown, nothing preselected, no exit-intent counter-offer",RC > Paywalls (v2 editor) attached to ofr_core,"D1-25, D1-29",Rendered on 3 device tiers (low/mid/high): all three disclosure lines visible without scrolling on a 720p 16:9 screen; close button tappable in frame 1; 20 consecutive opens per tier with zero crashes (regression watch for Android paywall issues #745/#736/#732)
paywalls,D1-37 Price rendering inside the paywall,"All price text comes from RevenueCat paywall variables bound to the store product - no literal currency strings anywhere in the template or the app binary. Same rule for the custom UGUI screens (StoreProduct price string only)",RC > Paywalls editor > text variables; Unity string table (pw_* keys),D1-36,"CI regex gate fails the build if any pw_* or shop string contains a currency symbol or a digit-dot-digit pattern; manual check in a non-USD storefront (INR) shows a correctly formatted local price"
paywalls,D1-38 Custom fallback + crash-strike system,"CustomPaywallScreen (the production renderer for the other four placements) also backs post_level_5. A crash marker is armed before the native RCUI call; 2 armed-marker process deaths OR in-process exceptions set PaywallV2Disabled=true permanently on that device",Unity PaywallPresenter.cs + save state (not a dashboard setting),D1-36,"Dev toggle forces an RCUI throw -> custom paywall appears seamlessly and a purchase still completes; after 2 armed deaths, paywall_viewed logs paywall_variant=fallback forever on that device"
paywalls,D1-39 Customer Center,"Enable and configure the RevenueCat Customer Center: support email support@catmetro.io, restore-purchases entry, refund guidance pointing at Google Play (we cannot issue Play refunds ourselves), and a ""missing purchase? switch Google accounts"" help path. Device-test alongside Paywalls v2; custom help screen is the fallback",RC > Customer Center configuration,"D1-03, D1-36",Opens from Settings and from the shop footer on device; restore from inside Customer Center produces restore_started/restore_completed; P1 - may ship in the first post-launch update if the device test is unstable
ads,D1-40 Request RevenueCat Ads beta access,"Submit on Aug 1. RevenueCat Ads is a public-beta TRACKING layer over an existing ad SDK - it does not serve ads (verified 2026-07-31). The AdMob convenience module is not available for Unity, so integration is manual AdTracker calls",RC dashboard > Ads > Request access,D1-01,"Request submitted and dated in ops log; status re-checked every 3 days; hard gate at D10 (Aug 10) - if not granted, the Model A contingency in monetization_spec 2.4 arms and the Catvertising narrative leads with AdMob data + the ""ads only when the player asks"" design"
ads,D1-41 AdTracker wiring (purchases-unity 9.7.0),"IAdTracker maps 1:1 to TrackAdLoaded / TrackAdDisplayed / TrackAdOpened / TrackAdRevenue / TrackAdFailedToLoad. AdContext = {placement, network, adUnitId} with placement in {rewind_failure, double_tickets, daily_gift_double, streak_saver, theme_rental}. Ad SDK: Google Mobile Ads Unity 11.3.0 (fallback AppLovin MAX 8.6.4). Calls are no-op-safe before beta access is granted",Unity CatMetro.Integrations.RevenueCat adapter (no dashboard step beyond D1-40),"D1-40, AdMob app + 5 rewarded ad units created Aug 1",A device session with one rewarded view shows the five AdTracker events in the RC dashboard within the same day; with beta access absent the same session must produce zero exceptions and zero dropped rewards
integrations,D1-42 OneSignal integration,"RC > Integrations > OneSignal: OneSignal App ID + REST API key (Growth plan, $19/mo, locked). RevenueCat then writes purchase tags into OneSignal, which is the precondition for the payer_status suppression in the lapse-ladder journey",RC > Integrations > OneSignal,"D1-01, OneSignal app created Aug 1",Test purchase on a license tester produces RC purchase tags on the matching OneSignal user within ~1 minute; payer users then fail the lapse-ladder entry condition (verified by a manual journey dry-run)
integrations,D1-43 $onesignalUserId subscriber attribute,"Client sets the RevenueCat subscriber attribute $onesignalUserId = OneSignal.User.onesignalId immediately after OneSignal init AND again on any onesignalId change (it can arrive late or change); if it is still null, retry once on the next foreground. This is the only identity link - Cat Metro has no accounts and never calls RC LogIn",Unity: Purchases.SetAttributes after OneSignal init (CatMetro.Integrations.OneSignal -> IPurchases),D1-42,"RC customer page shows $onesignalUserId populated for a fresh install within one session; a fresh-install run where OneSignal init is deliberately delayed 30s still ends with the attribute set (retry path)"
webhooks,D2-44 Webhook endpoint,"Cloudflare Worker at https://rc-hooks.catmetro.io/v1/revenuecat (~50 LOC): append-only write to KV + daily email digest to sushantsrikrish@gmail.com. NEVER in the purchase path - the game does not know this endpoint exists and never blocks on it",RC > Integrations > Webhooks > + New webhook,"D1-01, catmetro.io DNS live",RC's Send test event returns 200 and the KV log gains a row; Worker cold-start latency logged (must not matter - fire and forget)
webhooks,D2-45 Webhook event selection,"Subscribe to: INITIAL_PURCHASE, NON_RENEWING_PURCHASE (this is the one that matters - it is how rewind pack fulfillment is reconciled), CANCELLATION (one-time product refunds surface here), EXPIRATION, BILLING_ISSUE, TEST. No subscription-only events - we ship no subscriptions",RC > Integrations > Webhooks > event types,D2-44,"Buy cm_rewind_20 on a license tester -> a NON_RENEWING_PURCHASE row appears in KV with the same store transaction id whose hash is in the device ledger; refund cm_all_access -> a CANCELLATION row appears and entitlement_changed(revoked) fires on device"
webhooks,D2-46 Webhook authorization,"Set the Authorization header to a shared secret (stored as a Wrangler secret). The Worker returns 401 for anything else and counts 401s; the endpoint does no work before the header check",RC > Webhooks > Authorization header field; `wrangler secret put RC_WEBHOOK_AUTH`,D2-44,curl without the header returns 401 and writes nothing to KV; RC's test event with the header returns 200
webhooks,D3-47 Rewind fulfillment reconciliation job,"Nightly Worker cron: count NON_RENEWING_PURCHASE events per product against the device-reported purchase_completed(txn_id_hash) analytics rows for cm_rewind_5 / cm_rewind_20. Any mismatch emails a one-line alert with the hashed ids. This is an AUDIT trail for disputes, not a grant mechanism - the ledger grants, the webhook only watches",Cloudflare Worker cron trigger (0 7 * * *),"D2-45, ConsumableLedger shipped",Force a mismatch in staging (drop one analytics row) and confirm the digest flags it; steady state during the commercial beta must show zero mismatches for 7 consecutive days before the D24 submit
testing,D1-48 RevenueCat Test Store app,"Add a Test Store app inside the same RC project (supported >=8.3.0). Wire its key behind CM_TEST_STORE. Purpose: exercise offerings/placements/paywall/purchase/restore flows before Play credentials propagate and before the closed track is live",RC > Project settings > Apps > + New > Test Store,D1-01,"Dev build reaches a purchase success on Test Store; DOCUMENTED DELTAS: Test Store has no real Billing sheet, no pending purchases, no license-tester cards - so pending/deferred, process-death-mid-purchase and slow-card rows can NEVER be signed off on Test Store"
testing,D1-49 Play license testers,"Add the 12 closed testers' Google accounts to License testing so they get the test payment methods (always approves / always declines / slow approves / slow declines). Slow-card testing is the only way to reach Billing pending-purchase states",Play Console > Settings > License testing,D1-10,"Each tester account sees ""Test card"" options in the Play sheet; a slow-approve purchase of cm_rewind_5 reaches Pending UI copy, then grants exactly 5 rewinds when it clears"
testing,D1-50 Closed test track + 14-day tester clock,"12 testers opted in continuously from Aug 1 -> eligible to apply for production access Aug 14 (personal-account path, verified 2026-07-31). Production review is typically <=7 days and the first release review can take up to 7 days - this is the hard serial path to the Aug 24-28 public 1.0",Play Console > Testing > Closed testing > Testers,D1-10,"Tester count never drops below 12 for 14 consecutive days (checked every 2 days - one opt-out silently restarts the clock); production access application submitted Aug 14"
promo_codes,D2-51 Promo codes for judges,"Play one-time promo codes for cm_all_access (verified 2026-07-31 as working for one-time in-app products - this is the judge-access mechanism required by the Shipaton submission form). Generate 25: 15 reserved for judges, 5 press, 5 spare. Quota is limited per quarter (500 at last check - reverify in Console before generating). Codes are pasted into the Devpost ""free trial or promo code"" field and never posted publicly",Play Console > Monetize > Promo codes > New promo code campaign,"D1-11 (product must be ACTIVE)","2 codes self-redeemed on clean accounts: entitlement arrives via CustomerInfo sync with no purchase UI and logs purchase_completed(price_local_bucket=promo); the remaining 23 recorded in ops/judge_codes.md with expiry dates before Sep 30"
release_discipline,D24-52 Store/key/track pre-submit sweep,"Before the D24-26 production submit: production goog_ key only (CM_TEST_STORE stripped); all 6 SKUs ACTIVE in production; cm_all_access_499 INACTIVE; ofr_core marked Current; all 5 placements resolving on a physical device; Paywalls v2 crash-watch clean; promo codes generated; webhook receiving from the production app",Cross-surface (RC + Play + Unity build profile),All rows above,specs/revenuecat_implementation.md Section 7 release-readiness checklist run end to end; any unchecked P0 slips the submit date rather than the checklist
experiments,SEP-53 Arm PW01 (only if Pro plan confirmed),"If Pro: create the RC Experiment on placement post_level_5 with control ofr_core (all_access = cm_all_access @ $6.99) vs experiment-only offering ofr_core_b (all_access = cm_all_access_499 @ $4.99), 50/50, server-side. If NOT Pro: run the pre-declared sequential swap (7d + 7d) by repointing the post_level_5 placement to ofr_core_b and back, and label the readout as sequential with a day-of-week confound noted. Experiment-only offerings (ofr_core_b, ofr_core_t8, ofr_core_f, ofr_themes_b, ofr_rewind_b, ofr_shop_b - see paywall_experiments.csv) are deleted after their readout; the four launch offerings are the only permanent ones",RC > Experiments (Pro) OR RC > Placements (sequential fallback),"D1-02, D1-17, D1-30",Both arms verified on device before traffic starts (a clean account on each arm sees the correct price and gets all_access + both themes); readout captured for the HAMM evidence pack either way
experiments,SEP-54 Targeting (Pro-gated) vs client-side suppression,"Targeting is Pro/Enterprise-gated (verified 2026-07-31). The payer-suppression matrix therefore lives client-side in OfferEligibilityService as the primary implementation - if Pro is active, RC Targeting is used only as a redundant server-side belt on top, never as the sole gate",RC > Targeting (if Pro); Unity CatMetro.Application/OfferEligibilityService.cs,"D1-02, D1-20","QA asserts ZERO paywall_viewed events with placement in {post_level_5, bonus_district} for any customer holding all_access or supporter - the assertion must hold with Targeting switched off"
