# GOOGLE PLAY LAUNCH CHECKLIST - Cat Metro (com.catmetro.game), personal Play developer account, solo dev. Locked to DECISIONS_BRIEF 2026-07-31. Public 1.0 target Aug 24-28 2026 best case (planning basis P50 Sep 1-2 / P80 Sep 12-16); production submission the day access is granted (submit-on-grant; P50 ~Aug 20-21); Shipaton submission freeze Sep 26-30. All deadlines below are INTERNAL dates set ahead of Play's own statutory dates so the 3-5 week time-to-store (verified 2026-07-31) still lands inside the event window. Every row starts Not started; move to In progress / Done / Blocked and paste the evidence link in the tracker. URLs quoted in DECISIONS_BRIEF were verified 2026-07-31; the remaining Play Help article IDs are canonical but MUST be click-confirmed during the Aug 1 Console pass and corrected in place if Google has renumbered them. Risk cross-ref: R-01 (production access), R-14 (16 KB), R-16 (judge access).
item,requirement_detail,deadline,owner,evidence_required,status,source_url
In-app review API compliance,"If the in-app review prompt ships, it must follow Google's rules: no visible CTA or button that triggers it, never shown after a failure or in exchange for a reward, and the quota is limited so requests may silently no-op. Our trigger: after a level WIN on a completed district, at most once per 30 days, never in the same session as a paywall or ad. Never assume the flow appeared - do not branch UI on the callback.",2026-08-12,Sushant,"Code review note pointing at the single call site with its guard conditions; device test showing no crash or UI stall when the quota suppresses the dialog; analytics event confirming the trigger fires at most once per 30 days",Not started,https://developer.android.com/guide/playcore/in-app-review
POST_NOTIFICATIONS runtime permission,"Android 13+ (API 33+) requires runtime POST_NOTIFICATIONS consent before OneSignal can deliver push. Do not request it at first launch - request after the first Daily Line unlock (post L7) with a plain-language pre-prompt explaining the streak reminder. A denied permission must degrade cleanly: the app falls back to Unity Mobile Notifications local scheduling where possible and never blocks any gameplay.",2026-08-12,Sushant,"Device recording of the pre-prompt then system dialog on an API 33+ device; test evidence that a denial leaves the app fully playable; OneSignal dashboard showing subscription state changes",Not started,https://developer.android.com/develop/ui/views/notifications/notification-permission
Store listing assets to spec,"Prepare and upload: app icon 512x512 32-bit PNG; feature graphic 1024x500; 2-8 phone screenshots, PNG or JPEG, 16:9 to 9:16, 320-3840 px per side (ours 1080x1920); 7in and 10in tablet screenshots; optional 30s-2min YouTube preview. Short description <=80 chars, full description <=4000 chars, both stating 'no forced ads' plainly. Keep the Shipaton submission assets (1024x1024 icon, 1179x2556 frameless screenshot) in the same export batch. No third-party trademarks or music anywhere.",2026-08-20,Sushant,"Asset manifest listing each file with its measured dimensions and byte size; Console store-listing preview screenshot; copy proofread and character counts recorded",Not started,https://support.google.com/googleplay/android-developer/answer/9866151
Pre-launch report reviewed and clean,"Every closed-track upload generates a pre-launch report (crawler runs on real Firebase Test Lab devices). Review stability, performance, accessibility and policy sections on every build from Aug 1, not just at launch. Treat any native crash on an API 35+ device as a 16 KB regression until proven otherwise (R-14). Accessibility findings about tap-target size must be fixed, not dismissed - our locked design bar is >=48dp.",2026-08-21,Sushant,"Pre-launch report screenshots for the release-candidate build showing zero crashes and zero ANRs across the crawler device set; a written disposition for every remaining warning",Not started,https://support.google.com/googleplay/android-developer/answer/9844487
Managed publishing enabled for 1.0,"SUBMIT-ON-GRANT rule: submit the first production release the DAY production access is granted (P50 ~Aug 20-21), using the current commercial-beta build, with managed publishing ON so the approved build is held until we press Publish; the polished 1.0 ships as an immediate update. Launch Aug 24-28 is the best case; planning basis P50 Sep 1-2, P80 Sep 12-16. Managed publishing decouples an unpredictable review finish from the launch date and lets the BuildInPublic announcement, promo codes and store-listing copy land on the same day. Turn it off (or publish immediately) only once the launch-day checklist is green.",2026-08-20,Sushant,"Console > Publishing overview screenshot showing Managed publishing = On before the release is submitted; the launch-day go/no-go checklist with timestamps",Not started,https://support.google.com/googleplay/android-developer/answer/9859654
Availability includes the United States,"The Shipaton rules require the app to be accessible from the USA (verified 2026-07-31). Set country availability to include the US from the very first production release and verify the US is present after every release edit - judges cannot evaluate what they cannot install (R-16). Ship broad availability rather than a staged country rollout; there is no time to widen it later.",2026-08-24,Sushant,"Console > Countries / regions screenshot with United States = Available; a US Play Store URL check (https://play.google.com/store/apps/details?id=com.catmetro.game&gl=US) returning the live listing",Not started,https://support.google.com/googleplay/android-developer/answer/7550024
EU DSA trader status declared,"The EU Digital Services Act requires every developer distributing in the EU to declare trader status and, if a trader, publish contact and trader details. MANUAL VERIFY IN CONSOLE on Aug 1: the exact wording, the required fields and the help-article ID have all changed since introduction, so do not rely on this row's text - open Console > Account details / App content and complete whatever the current form asks. An undeclared or unverified trader status can block EU distribution entirely, which would shrink reach during the window.",2026-08-20,Sushant,"Console screenshot of the completed trader-status declaration with the verification state visible; a note recording the exact Console path and help-article ID found on the day, replacing this row's URL if it differs",Not started,https://support.google.com/googleplay/android-developer/answer/14966188
Refund handling and support contact,"Google handles Play refunds; developers can also refund an order from Console within the allowed window. Publish a support email (support@catmetro.com) and the website in the store listing, and state the refund route in the in-app Settings > Help screen. Track refund rate as a monetisation-trust signal: >3% of orders is the R-12 tripwire that triggers a positioning review, not just a support reply. Target: respond to every store review or support email within 48 hours during the window.",2026-08-20,Sushant,"Live support@catmetro.com mailbox receiving a test message; Console listing screenshot showing the contact email and website; the Console refunds page bookmarked with the process written into the ops runbook",Not started,https://support.google.com/googleplay/android-developer/answer/2741495
In-app Promotions integrated in the app,"Play promo codes for one-time in-app products only work if the APP integrates In-app Promotions and the promoted buy option is Active (answer/6321495) - this is an app-side integration, not a dashboard-only task. Whether purchases-unity coexists cleanly with the In-app Promotions redemption flow is UNVERIFIED: prove it with an end-to-end promo-code redemption test on a clean device as an acceptance criterion at D17 (commerce build) and again at D24 (pre-submit sweep). If redemption fails, the judge-access mechanism named in the rules is broken (R-16) and fixing it becomes the top P0. Tracked as backlog issue CM-050.",2026-08-17,Sushant,"A recorded clean-device redemption of a test code showing the all_access entitlement arriving via CustomerInfo sync, captured at D17 and re-run at D24; CM-050 closed with both recordings attached",Not started,https://support.google.com/googleplay/android-developer/answer/6321495
Promo codes generated for judges,"After 1.0 is live, mint the launch batch of 25 one-time promo codes for cm_all_access: 15 reserved for Shipaton judges, 5 press, 5 spare (Play one-time codes verified 2026-07-31 to work for one-time in-app products; quarterly quota - reverify in Console before generating). Redeem-test 2 codes on a factory-reset device to prove the flow end to end, then include the judge codes plus a step-by-step redemption guide in the Devpost submission. Codes must be created after the product is Active and the app is published, so this is a post-launch, pre-submission task (R-16).",2026-08-28,Sushant,"Console promo-code batch screenshot showing 25 codes (15 judges / 5 press / 5 spare) with expiry dates; a recorded redemption on a clean device showing the all_access entitlement becoming active in RevenueCat; the redemption guide text drafted for Devpost",Not started,https://support.google.com/googleplay/android-developer/answer/6321495
Remaining app content declarations,"Clear every other App content section so the release is not held: App access = no login required, all content reachable without credentials (state this explicitly for reviewers); News app = No; Health apps = No; Financial features = None; Government apps = No; Data safety refreshed after any SDK change. Play blocks the production release while ANY App content section is incomplete, so walk the full list top to bottom the same day the Data safety form is filed rather than discovering a missing section on launch day.",2026-08-19,Sushant,"Console > App content screenshot showing every section marked Completed with no outstanding warnings; a dated walkthrough note listing each section and its answer",Not started,https://support.google.com/googleplay/android-developer/answer/9859455
